la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
34,2019,1,4040,3472,3268,3,3184,180,42,3406,66,0,3458,14
20,2019,1,4330,3672,3639,3,3230,230,85,3545,127,0,3622,50
21,2019,1,2386,2140,1923,3,1892,142,29,2063,67,10,2010,133
22,2019,1,7635,7052,5151,6,6409,342,103,6871,181,0,6708,344
23,2019,1,3902,2954,2954,6,2743,116,26,2887,61,6,2975,47
24,2019,1,3268,2846,2810,4,2635,129,26,2793,53,0,2774,72
25,2019,1,3385,2849,2605,6,2630,116,32,2785,57,7,2778,86
26,2019,1,3852,3328,3316,6,3042,181,47,3282,44,2,3282,64
27,2019,1,3160,2686,2673,6,2456,123,40,2625,61,0,2605,81
28,2019,1,3105,2836,2782,5,2541,156,54,2782,54,0,2762,74
29,2019,1,3981,3555,3189,3,3325,147,36,3508,42,5,3450,100
43,2019,1,3026,2542,2237,3,2300,152,24,2476,64,2,2506,34
44,2019,1,4275,3154,2915,3,3011,57,17,3085,69,0,3117,37
45,2019,1,3722,2831,2293,3,2748,52,6,2806,25,0,2795,36
46,2019,1,6897,6125,3278,3,5632,323,71,6026,99,0,6047,78
47,2019,1,8371,7494,6983,5,6632,464,148,7325,169,0,7295,199
48,2019,1,3010,2281,2275,5,2106,107,29,2253,26,2,2257,23
49,2019,1,5948,5157,5151,3,4737,261,80,5078,79,0,5038,131
50,2019,1,10677,9496,8824,5,8390,571,165,9241,255,0,9423,73
51,2019,1,4565,3847,2789,5,3548,158,25,3740,107,0,3796,68
8,2019,1,2515,2061,1789,3,1897,94,30,2021,40,0,2047,28
